Candidate,Item097,Item098,Item100,Item101,Item104,Item105,Item106,Item107,Item108,Item109,Item115,Item116,Item117,Item118,Item119,Item120,Item121,Item122,Item123,Item124,Item125,Item126,Item127,Item128,Item129,Item130,Item131,Item132,Item133,Item134,Item135,Item136,Item137,Item140,Item141,Item142,Item143,Item144,Item157,Item158,Item159,Item160,Item162,Item163,Item164,Item166,Item167,Item168,Item145,Item147,Item148,Item150,Item151,Item152,Item153,Item154,Item155,Item156,Item183,Item184,Item185,Item186,Item187,Item188,Item189,Item190,Item191,Item192
Cand00968,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,0,1,1,1,0,0, , , , , , , , , , 
Cand00973,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,0,0,1,0,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00991,0,1,1,1,1,1,0,0,0,1,1,1, , , , , , , , ,0,1,0,0,1,0,1,0, , , , , , , , , , ,1,1,1,1,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00993,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1, , , , , , , , , , , , , , , , , , ,1,0,1,0,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand01008,0,1,0,1,0,1,1,1,0,0,1,0, , , , , , , , ,0,1,1,0,1,0,0,0, , , , , , , , , , ,1,1,1,1,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand01013,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,0,0,0,0,0,0, , , , , , , , , , 
Cand01015,1,1,0,1,1,1,0,1,0,0,1,1, , , , , , , , ,0,1,1,0,0,0,1,0, , , , , , , , , , ,1,1,1,0,1,1,0,0,0,1, , , , , , , , , , , , , , , , , , , , 
Cand01021,1,1,1,1,1,1,1,0,0,0,1,0, , , , , , , , ,0,1,1,0,1,0,1,0, , , , , , , , , , ,1,1,1,1,1,1,0,1,1,1, , , , , , , , , , , , , , , , , , , , 
Cand01028,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,0,0,1,0,0,1,0,1,0,0, , , , , , , , , , , , , , , , , , , , 
Cand01031,1,1,0,1,1,1,0,1,0,1,1,1, , , , , , , , ,0,1,0,0,1,0,1,0, , , , , , , , , , ,1,0,1,0,1,1,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand01052,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , ,1,0,1,0,0,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand01078,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,0,0,1,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , 
Cand01096,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,1,0,0,0,1,0, , , , , , , , , , 
Cand01100,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,0,1,0,1,0,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand01104,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1, , , , , , , , ,1,1,1,0,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand01126,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,1,1,0,0,0,0, , , , , , , , , , 
Cand01133,0,1,0,1,1,1,1,0,0,1,1,0, , , , , , , , ,0,1,0,0,0,0,0,0, , , , , , , , , , ,1,1,1,1,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , 
Cand01143,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , ,0,1,0,0,0,0,0,1,1,1, , , , , , , , , , , , , , , , , , , , 
Cand01149,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , 
Cand01165,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,0,0,0,0,0,0, , , , , , , , , , 
